Website Name,Website URL,Product Link,Product Images,Selling Type,Product Title,Product Price Currency,Product Price,Current Bid Price,Current Bid Currency,Current Bid Count,Description,Condition,Condition Id,Condition Descriptors,Condition Values,Condition Additional Info,Product Availibility status,Product Availibility Quantity,Product Sold Quantity,Product Remaining Quantity,Shipping Cost,Shipping Currency,Shipping Service Code,Shipping Carrier Code,Shipping Type,Additional Shipping Cost Per Unit,Additional Shipping Cost Currency,Shipping Cost Type,Estimated Arrival,Brand,Category,Updated,Auction Id,Bid Count,Certified Seller,Favorited Count,Highest Bidder,Listing Id,Integer Id,Is Owner,Listing Type,Lot String,Slug,Starting Price,Starting Price Currency,Is Closed,User Bid Status,User Max Bid,Status,ReturnTerms returns Accepted,ReturnTerms refund Method,ReturnTerms return Shipping Cost Payer,ReturnTerms return Period Value,ReturnTerms return Period Unit,Payment Methods,Quantity Used For Estimate,Min Estimated Delivery Date,Max Estimated Delivery Date,Buying Options,Minimum Price to Bid,Minimum Price Currency,Unique Bidder Count
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m84995954487/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m84995954487_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796', 'https://u-mercari-images.mercdn.net/photos/m84995954487_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796', 'https://u-mercari-images.mercdn.net/photos/m84995954487_3.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796', 'https://u-mercari-images.mercdn.net/photos/m84995954487_4.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796', 'https://u-mercari-images.mercdn.net/photos/m84995954487_5.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796', 'https://u-mercari-images.mercdn.net/photos/m84995954487_6.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796', 'https://u-mercari-images.mercdn.net/photos/m84995954487_7.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740976796']",Fixed,VTG Chase Authentics Small ESPN Speed World SS Button Down Purple Promo Shirt,$,$19.95,,,,VTG Chase Authentics ESPN Speed World SS Button Down Purple Promo Shirt very good pre-owned condition! maybe worn once!,Good,,,,,,,,,-,$,,,,,,,-,Chaser,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m22853527952/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m22853527952_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575', 'https://u-mercari-images.mercdn.net/photos/m22853527952_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575', 'https://u-mercari-images.mercdn.net/photos/m22853527952_3.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575', 'https://u-mercari-images.mercdn.net/photos/m22853527952_4.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575', 'https://u-mercari-images.mercdn.net/photos/m22853527952_5.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575', 'https://u-mercari-images.mercdn.net/photos/m22853527952_6.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575', 'https://u-mercari-images.mercdn.net/photos/m22853527952_7.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974575']",Fixed,2 Box Lot 2021 Panini Chronicles Racing 5-Pack Blaster Box,$,$34.00,,,,"This is a 2 Box Lot, You will get (2) boxes of 2021 Panini Chronicles Racing 5-Pack Blaster Box Each Box contains One Autograph or Memorabilia Card, Five Green Parallels, and One Spectra Card! 2021 Chronicles Racing features top drivers like Hailie Deegan, Chase Elliott and Denny Hamlin across numerous sets giving collectors a large variety to hunt for! Look for Prime Jumbo Patches featuring 30 drivers and 21 parallels all #'d/4 or less! True to its reputation, look for a wide variety of C2S, Opti-Chrome and Holographic in each box! Hunt for race-worn materials in sets like Status Swatches and Chronicles Swatches, and find them paired with autographs in Black Rookie Materials Signatures and Cornerstone Materials Signatures! 5 Packs Per Box, 5 Cards Per Pack Product Highlights One Autograph or Memorabilia Card Per Box! Five Green Parallels Per Box! One Spectra Card Per Box! Key Rookies Austin Cindric",New,,,,,,,,,-,$,,,,,,,-,Panini,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m14792465204/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m14792465204_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_3.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_4.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_5.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_6.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_7.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_8.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138', 'https://u-mercari-images.mercdn.net/photos/m14792465204_9.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740974138']",Fixed,Vintage 1990s Dale Earnhardt T-Shirt Mens XL 700 Charging Horses AOP,$,$115.00,,,,"Capture the high-octane spirit of NASCAR with this Vintage 1990s Dale Earnhardt T-Shirt. Emblazoned with the iconic ""700 Charging Horses"" design, this all-over print tee is a testament to the legendary career of Dale Earnhardt Sr. and his team's relentless energy. The classic black shirt, made for the dedicated fan, proudly sports the Sunday Showdown team colors and is officially licensed for authenticity. Crafted in the United States, this men's size XL shirt is a must-have for any auto racing enthusiast. The shirt is a product of Chase, ensuring quality and comfort. Whether you're at the track or just showing off your NASCAR pride, this piece is an ideal addition to any fan's wardrobe.",Good,,,,,,,,,-,$,,,,,,,-,Chaser,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m45647258700/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m45647258700_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740967425', 'https://u-mercari-images.mercdn.net/photos/m45647258700_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740967425', 'https://u-mercari-images.mercdn.net/photos/m45647258700_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740967425', 'https://u-mercari-images.mercdn.net/photos/m45647258700_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740967425']",Fixed,1991 McDonalds All Star Race Team NASCAR Maxx Race Cards Complete Set,$,$5.99,,,,1991 McDonalds All Star Race Team NASCAR Maxx Race Cards Complete Set,Like new,,,,,,,,,-,$,,,,,,,-,-,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m26311455506/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m26311455506_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961522', 'https://u-mercari-images.mercdn.net/photos/m26311455506_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961522', 'https://u-mercari-images.mercdn.net/photos/m26311455506_3.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961522']",Fixed,Nascar semi,$,$35.00,,,,Larry minor motorsports mcdonalds racing team semi,Like new,,,,,,,,,-,$,,,,,,,-,NASCAR,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m13794955985/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m13794955985_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961428', 'https://u-mercari-images.mercdn.net/photos/m13794955985_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961428', 'https://u-mercari-images.mercdn.net/photos/m13794955985_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961428', 'https://u-mercari-images.mercdn.net/photos/m13794955985_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740961428']",Fixed,1991 Maxx #141 Jeffrey Ellis NASCAR Racing Card,$,$2.99,,,,"* Photos on listing are of actual card. If more pictures are needed, please ask. * All cards will be listed as accurately as possible with flaws listed and photographed. * Unless otherwise stated, most cards are ungraded, raw, and/or vintage. Please take this under consideration. * If no flaws are listed, card will be in mint to near mint condition. * Cards will be shipped in a protective setting to reduce damage. * If you have any questions regarding this item, please feel free to reach out with any questions. Offers welcome.",Good,,,,,,,,,-,$,,,,,,,-,-,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m35968063430/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m35968063430_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740958836', 'https://u-mercari-images.mercdn.net/photos/m35968063430_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740958836', 'https://u-mercari-images.mercdn.net/photos/m35968063430_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740958836', 'https://u-mercari-images.mercdn.net/photos/m35968063430_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740958836']",Fixed,1999 Upper Deck Road To The Cup Rusty Wallace Card #59 Miller Lite,$,$1.75,,,,"1999 Upper Deck Road To The Cup Rusty Wallace Card #59 Miller Lite ""I can make custom bundles with shipping cost of ($0.73 - $3.99), depending on weight and number of cards. These will be shipped with care by USPS Mail Service. Approximately: 10 cards - $.73 10-20 cards - $.92 20-30 cards - $1.16 shipping 30+ cards - $3.99 shipping",Good,,,,,,,,,-,$,,,,,,,-,NASCAR,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m47110242211/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m47110242211_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957945', 'https://u-mercari-images.mercdn.net/photos/m47110242211_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957945', 'https://u-mercari-images.mercdn.net/photos/m47110242211_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957945', 'https://u-mercari-images.mercdn.net/photos/m47110242211_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957945']",Fixed,NASCAR Cards,$,$6.50,,,,"1996 Pinnacle NASCAR Action Packed Jeff Gordon Trading Cards Vintage (3) Card Lot #3, #4, Driver Insert #20 Message me if you have any questions",Good,,,,,,,,,-,$,,,,,,,-,Pinnacle Products,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m15686713917/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m15686713917_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957808', 'https://u-mercari-images.mercdn.net/photos/m15686713917_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957808', 'https://u-mercari-images.mercdn.net/photos/m15686713917_3.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957808', 'https://u-mercari-images.mercdn.net/photos/m15686713917_4.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957808']",Fixed,Dale Earnhardt #3 Goodwrench 1:64 Die-cast Cab Racing Team Transporter,$,$15.00,,,,Dale Earnhardt #3 Goodwrench 1:64 Die-cast Cab Racing Team Transporter Good Condition Box Has Little Damage,Good,,,,,,,,,-,$,,,,,,,-,Racing Champions,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCARI,https://www.mercari.com/,https://www.mercari.com/us/item/m77532336463/?ref=search_results,"['https://u-mercari-images.mercdn.net/photos/m77532336463_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957740', 'https://u-mercari-images.mercdn.net/photos/m77532336463_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957740', 'https://u-mercari-images.mercdn.net/photos/m77532336463_1.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957740', 'https://u-mercari-images.mercdn.net/photos/m77532336463_2.jpg?width=512&height=512&format=pjpg&auto=webp&fit=crop&_=1740957740']",Fixed,1999 Wheels High Gear First Gear Rusty Wallace Card #68 -Hall Of Fame-,$,$1.50,,,,"1999 Wheels High Gear First Gear Rusty Wallace Card #68 -Hall Of Fame- ""I can make custom bundles with shipping cost of ($0.73 - $3.99), depending on weight and number of cards. These will be shipped with care by USPS Mail Service. Approximately: 10 cards - $.73 10-20 cards - $.92 20-30 cards - $1.16 shipping 30+ cards - $3.99 shipping",Good,,,,,,,,,-,$,,,,,,,-,NASCAR,['-'],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
